tour,model_rank,player,entry_rank,quarterfinal_probability,hybrid_score,trend_bucket,main_evidence
ATP,1,"SINNER, Jannik (ITA)",1,0.9477,0.9401,slipping,strong overall Elo; strong grass Elo; high classifier probability
ATP,2,"DJOKOVIC, Novak (SRB)",3,0.6629,0.7161,cooling,strong grass Elo; strong overall Elo; 30-3 recent Wimbledon record
ATP,3,"ZVEREV, Alexander (GER)",2,0.5726,0.6612,improving,strong overall Elo; strong grass Elo; strong last-5-match form
ATP,4,"FRITZ, Taylor (USA)",7,0.4074,0.5230,cooling,strong grass Elo; strong overall Elo; strong last-5-match form
ATP,5,"SHELTON, Ben (USA)",5,0.3678,0.4937,slipping,strong overall Elo; strong grass Elo; strong last-5-match form
ATP,6,"MEDVEDEV, Daniil",6,0.3675,0.4945,cooling,strong overall Elo; strong grass Elo; 11-4 recent Wimbledon record
ATP,7,"FILS, Arthur (FRA)",16,0.2905,0.4014,stable,strong overall Elo; strong last-5-match form; strong grass Elo
ATP,8,"DE MINAUR, Alex (AUS)",8,0.2900,0.4347,slipping,strong grass Elo; strong overall Elo; 10-4 recent Wimbledon record
ATP,9,"RUBLEV, Andrey",11,0.2410,0.3815,stable,strong grass Elo; strong overall Elo; 10-4 recent Wimbledon record
ATP,10,"PAUL, Tommy (USA)",23,0.2354,0.3757,stable,strong overall Elo; strong grass Elo; strong last-5-match form
ATP,11,"AUGER-ALIASSIME, Felix (CAN)",4,0.2301,0.3976,cooling,strong overall Elo; strong grass Elo; strong last-5-match form
ATP,12,"TIAFOE, Frances (USA)",18,0.2255,0.3716,stable,strong overall Elo; strong grass Elo; strong last-5-match form
ATP,13,"COBOLLI, Flavio (ITA)",10,0.2038,0.3479,improving,strong overall Elo; strong grass Elo; 5-2 recent Wimbledon record
ATP,14,"BUBLIK, Alexander (KAZ)",9,0.1964,0.3601,cooling,strong grass Elo; strong overall Elo; 9-5 recent Wimbledon record
ATP,15,"LEHECKA, Jiri (CZE)",12,0.1911,0.3480,slipping,strong overall Elo; strong grass Elo; 4-2 recent Wimbledon record
ATP,16,"RUUD, Casper (NOR)",15,0.1794,0.2978,improving,strong overall Elo; strong last-5-match form; 3-4 recent Wimbledon record
ATP,17,"JODAR, Rafael (ESP)",26,0.1522,0.2760,surging,strong overall Elo; strong last-5-match form; 0-0 recent Wimbledon record
ATP,18,"TIEN, Learner (USA)",17,0.1516,0.2914,slipping,strong overall Elo; strong last-5-match form; strong grass Elo
ATP,19,"KHACHANOV, Karen",13,0.1472,0.3012,slipping,strong grass Elo; strong overall Elo; 8-3 recent Wimbledon record
ATP,20,"DARDERI, Luciano (ITA)",14,0.1273,0.2503,slipping,strong overall Elo; strong last-5-match form; 3-2 recent Wimbledon record
ATP,21,"MENSIK, Jakub (CZE)",25,0.1161,0.2572,cooling,strong overall Elo; strong last-5-match form; 2-2 recent Wimbledon record
ATP,22,"NORRIE, Cameron (GBR)",19,0.1151,0.2698,slipping,strong grass Elo; strong overall Elo; 14-5 recent Wimbledon record
ATP,23,"DAVIDOVICH FOKINA, Alejandro (ESP)",20,0.0980,0.2534,cooling,strong overall Elo; strong grass Elo; 5-4 recent Wimbledon record
ATP,24,"BLOCKX, Alexander (BEL)",33,0.0912,0.1972,improving,strong last-5-match form; strong overall Elo; 0-0 recent Wimbledon record
ATP,25,"KOKKINAKIS, Thanasi (AUS) PR",77,0.0818,0.2148,slipping,strong overall Elo; strong last-5-match form; strong grass Elo
ATP,26,"FONSECA, Joao (BRA)",27,0.0759,0.2074,stable,strong overall Elo; strong last-5-match form; 2-1 recent Wimbledon record
ATP,27,"NAKASHIMA, Brandon (USA)",30,0.0759,0.2364,stable,strong grass Elo; strong overall Elo; strong last-5-match form
ATP,28,"CERUNDOLO, Francisco (ARG)",24,0.0741,0.2468,stable,strong overall Elo; strong last-5-match form; strong grass Elo
ATP,29,"CILIC, Marin (CRO)",40,0.0649,0.2281,slipping,strong grass Elo; strong overall Elo; 5-2 recent Wimbledon record
ATP,30,"TABILO, Alejandro (CHI)",32,0.0596,0.2087,slipping,strong overall Elo; strong grass Elo; 3-2 recent Wimbledon record
ATP,31,"HUMBERT, Ugo (FRA)",31,0.0593,0.2241,slipping,strong grass Elo; strong overall Elo; strong last-5-match form
